Sub-basin,Season,Metric,Index,n,r,p,q_fdr,sig_fdr_0_05,Positive_phase,Negative_phase,n_positive,n_negative,mean_positive,mean_negative,phase_difference,ci_low_95,ci_high_95,phase_p
Central,Post-monsoon,Exposure,DMI,31,-0.04775738002469136,0.7986302358138587,0.8221543178507267,False,Positive IOD,Negative IOD,6,6,43.833333333333336,32.833333333333336,11.0,-26.337500000000002,46.0,0.6012608492725309
Central,Post-monsoon,Intensity,ONI,31,-0.13810568949711186,0.4587526281195361,0.5975375583825396,False,El Niño,La Niña,10,13,0.9958895962478381,1.079105890156468,-0.08321629390862995,-0.2460031015975105,0.03874809136438176,0.286159469677355
Central,Post-monsoon,Intensity,DMI,31,-0.21938684022064986,0.2356967208222481,0.4918888086725178,False,Positive IOD,Negative IOD,6,6,1.0000986909203982,1.1901166666666665,-0.19001797574626833,-0.46724069970460186,-0.014522758473258656,0.2184351191687786
Southern,Winter,Exposure,ONI,31,0.33024105318246844,0.06961127606219246,0.3425634006349543,False,El Niño,La Niña,7,10,56.285714285714285,24.1,32.18571428571428,-1.5449999999999975,66.80071428571428,0.1365748773757167
Southern,Winter,Exposure,DMI,31,-0.13378798310017415,0.4730505670528438,0.5975375583825396,False,Positive IOD,Negative IOD,1,0,,,,,,
Southern,Winter,Intensity,ONI,31,-0.13528433107886983,0.4680693435523346,0.5975375583825396,False,El Niño,La Niña,7,10,0.95000418848206,1.0603150216450214,-0.11031083316296142,-0.2785593663977542,0.0023826813873030254,0.20240527645962758
Southern,Winter,Intensity,DMI,31,-0.23531944966833093,0.20254065194986282,0.46507157637308966,False,Positive IOD,Negative IOD,1,0,,,,,,
Southern,Pre-monsoon,Exposure,ONI,31,0.31375866970343785,0.08564085015873857,0.3425634006349543,False,El Niño,La Niña,5,6,58.0,28.833333333333332,29.166666666666668,-13.005833333333332,68.06666666666668,0.2517177284542426
Southern,Pre-monsoon,Exposure,DMI,31,0.04621048295000216,0.8050261028955031,0.8221543178507267,False,Positive IOD,Negative IOD,2,1,,,,,,
Southern,Pre-monsoon,Intensity,ONI,31,0.1993156622995829,0.2823879538214278,0.5244675269540451,False,El Niño,La Niña,5,6,1.1943722598039215,1.086306077783026,0.10806618202089546,-0.010876882577546487,0.21688130475515643,0.11967814634746682
Southern,Pre-monsoon,Intensity,DMI,31,-0.23790653238895693,0.19747752798986884,0.46507157637308966,False,Positive IOD,Negative IOD,2,1,,,,,,
Southern,Monsoon,Exposure,ONI,31,-0.010159180737644435,0.9567433485140207,0.9567433485140207,False,El Niño,La Niña,5,6,54.2,35.5,18.700000000000003,-15.467499999999998,59.06749999999999,0.4141112108875899
Southern,Monsoon,Exposure,DMI,31,-0.1700000633605889,0.36055732744629054,0.5582823134652241,False,Positive IOD,Negative IOD,4,4,38.0,69.0,-31.0,-100.75,28.5,0.46413048343864316
Southern,Monsoon,Intensity,ONI,31,-0.3767155440116376,0.03671425401626961,0.3311086341321165,False,El Niño,La Niña,5,6,0.9173876978930842,0.9907088796871405,-0.07332118179405633,-0.14583202030269032,-0.016554068592859083,0.1076808427278584
Southern,Monsoon,Intensity,DMI,31,-0.3478319574211909,0.05518477235535275,0.3311086341321165,False,Positive IOD,Negative IOD,4,4,0.8560432692307691,0.9782909836065574,-0.1222477143757883,-0.23810576923076932,-0.003089604350567531,0.1425995753216169
Southern,Post-monsoon,Exposure,ONI,31,0.1887196617866236,0.3092770567967383,0.5376598167236806,False,El Niño,La Niña,10,13,39.6,26.53846153846154,13.061538461538461,-10.80903846153846,38.631538461538454,0.3296213012434328
Southern,Post-monsoon,Exposure,DMI,31,0.07452682673928987,0.6902979447066233,0.7603528245413765,False,Positive IOD,Negative IOD,6,6,52.166666666666664,36.166666666666664,16.0,-20.166666666666664,52.67083333333328,0.451145818429491
Southern,Post-monsoon,Intensity,ONI,31,0.08256813290191821,0.6587906773206048,0.7603528245413765,False,El Niño,La Niña,10,13,1.0136623772681062,0.9584628890022505,0.055199488265855634,-0.15635471831905495,0.26286150904991723,0.6175067927194404
Southern,Post-monsoon,Intensity,DMI,31,-0.18164444272155106,0.328094007274411,0.5430521499714389,False,Positive IOD,Negative IOD,6,6,1.0051756462469335,1.1416085858585856,-0.13643293961165215,-0.41047312146919473,0.022655752024268963,0.35118516678481193
