Sub_basin,Season,Index,Metric,Lag,n,r,p_eff,q_fdr
Northern,Monsoon,ONI,Exposure,2,29,0.3010080051699404,0.11257438438857936,0.7471371937912804
Northern,Monsoon,ONI,Exposure,3,28,-0.13166420745520213,0.5042266922386855,0.8857040783450493
Northern,Monsoon,ONI,Intensity,-3,28,-0.049884550635015096,0.8035005736586516,0.9472848868396735
Northern,Monsoon,ONI,Intensity,-2,29,0.26916384858404013,0.19189469423965178,0.8245629227577517
Northern,Monsoon,ONI,Intensity,-1,30,0.044673426234461994,0.8292298739143038,0.9556543884025043
Northern,Monsoon,ONI,Intensity,0,31,-0.28955686443319584,0.14507465606468872,0.8245629227577517
Northern,Monsoon,ONI,Intensity,1,30,0.0278828611090439,0.892820799800806,0.967723439403098
Northern,Monsoon,ONI,Intensity,2,29,-0.07925568433934949,0.7074600958112418,0.9072770694373178
Northern,Monsoon,ONI,Intensity,3,28,0.21976477546396062,0.27770946184546474,0.8857040783450493
Northern,Monsoon,DMI,Exposure,-3,28,0.10168392681334582,0.6066457909965863,0.8871148709847756
Northern,Monsoon,DMI,Exposure,-2,29,0.2288172951771198,0.23250259229290093,0.8777625956226373
Northern,Monsoon,DMI,Exposure,-1,30,0.02338540083104252,0.9023755265000113,0.967723439403098
Northern,Monsoon,DMI,Exposure,0,31,-0.14493884308814592,0.43660195717733563,0.8857040783450493
Northern,Monsoon,DMI,Exposure,1,30,-0.25437003750687365,0.1749474717776367,0.8245629227577517
Northern,Monsoon,DMI,Exposure,2,29,0.30231409531260384,0.11094648311991451,0.7471371937912804
Northern,Monsoon,DMI,Exposure,3,28,-0.006622561739500155,0.973319025663691,0.9933712482297942
Northern,Monsoon,DMI,Intensity,-3,28,-0.1246822094337537,0.5812434086116021,0.8857040783450493
Northern,Monsoon,DMI,Intensity,-2,29,0.007885630282730476,0.9731787595018804,0.9933712482297942
Northern,Monsoon,DMI,Intensity,-1,30,0.3086101706855019,0.18947486909508893,0.8245629227577517
Northern,Monsoon,DMI,Intensity,0,31,-0.405527096826432,0.06235529324570144,0.6329236289706294
Northern,Monsoon,DMI,Intensity,1,30,0.09955408221489569,0.6712844044513626,0.9058295578138869
Northern,Monsoon,DMI,Intensity,2,29,-0.1693315461964368,0.48162532532377633,0.8857040783450493
Northern,Monsoon,DMI,Intensity,3,28,0.5550358947131846,0.010655417091021135,0.6095607601183826
Northern,Post-monsoon,ONI,Exposure,-3,28,0.15373457065691926,0.43615389758220924,0.8857040783450493
Northern,Post-monsoon,ONI,Exposure,-2,29,-0.10131425236875964,0.6010134817341406,0.8857040783450493
Northern,Post-monsoon,ONI,Exposure,-1,30,-0.2448524480917713,0.19220554915816734,0.8245629227577517
Northern,Post-monsoon,ONI,Exposure,0,31,-0.2983997685545322,0.10298805295966118,0.7471371937912804
Northern,Post-monsoon,ONI,Exposure,1,30,0.29225170210954265,0.1170801128013903,0.7471371937912804
Northern,Post-monsoon,ONI,Exposure,2,29,0.051197615553087376,0.7919704023052381,0.9469824027564412
Northern,Post-monsoon,ONI,Exposure,3,28,-0.384452685525206,0.04338642897179423,0.6329236289706294
Northern,Post-monsoon,ONI,Intensity,-3,28,0.13021255525538777,0.5096154113581663,0.8857040783450493
Northern,Post-monsoon,ONI,Intensity,-2,29,-0.4191212604176634,0.023629663872208884,0.6329236289706294
Northern,Post-monsoon,ONI,Intensity,-1,30,-0.3040726754381056,0.1023316544288344,0.7471371937912804
Northern,Post-monsoon,ONI,Intensity,0,31,-0.14819527368617064,0.4262549449753714,0.8857040783450493
Northern,Post-monsoon,ONI,Intensity,1,30,0.16512790476786376,0.38319744503996267,0.8857040783450493
Northern,Post-monsoon,ONI,Intensity,2,29,0.1319314602785519,0.495104676108987,0.8857040783450493
Northern,Post-monsoon,ONI,Intensity,3,28,0.06195217795488822,0.7541476941458463,0.9247942526751983
Northern,Post-monsoon,DMI,Exposure,-3,28,-0.07964009182836139,0.6870634260076294,0.9072770694373178
Northern,Post-monsoon,DMI,Exposure,-2,29,-0.19650197282771917,0.30694527576157515,0.8857040783450493
Northern,Post-monsoon,DMI,Exposure,-1,30,-0.2554856110479299,0.1729986904300358,0.8245629227577517
Northern,Post-monsoon,DMI,Exposure,0,31,-0.3742707129123304,0.03805268666727324,0.6329236289706294
Northern,Post-monsoon,DMI,Exposure,1,30,0.36180299520109815,0.04946002793056681,0.6329236289706294
Northern,Post-monsoon,DMI,Exposure,2,29,-0.08441345054772421,0.6632988950739076,0.9023013309507406
Northern,Post-monsoon,DMI,Exposure,3,28,-0.3006063280398782,0.1201038424796479,0.7471371937912804
Northern,Post-monsoon,DMI,Intensity,-3,28,0.09537502821901993,0.6292583989848142,0.8996808286359554
Northern,Post-monsoon,DMI,Intensity,-2,29,-0.1975768065126864,0.30425388733479997,0.8857040783450493
Northern,Post-monsoon,DMI,Intensity,-1,30,-0.13607932690480307,0.4733663962898409,0.8857040783450493
Northern,Post-monsoon,DMI,Intensity,0,31,-0.16107271166325263,0.38669130015703024,0.8857040783450493
Northern,Post-monsoon,DMI,Intensity,1,30,0.3304019657509749,0.07454532503309408,0.6591376108189371
Northern,Post-monsoon,DMI,Intensity,2,29,-0.1022049039290068,0.5978012856776977,0.8857040783450493
Northern,Post-monsoon,DMI,Intensity,3,28,0.014905870313965862,0.9399900410344799,0.9839148093071192
Central,Winter,ONI,Exposure,-3,28,0.03406827863981125,0.8645842306146003,0.9651172806860654
Central,Winter,ONI,Exposure,-2,29,-0.1840109893890438,0.347860411507366,0.8857040783450493
Central,Winter,ONI,Exposure,-1,30,-0.29685686017481067,0.12015368539885052,0.7471371937912804
Central,Winter,ONI,Exposure,0,31,0.10266277517701944,0.5940272607634243,0.8857040783450493
Central,Winter,ONI,Exposure,1,30,0.146761992361896,0.45439907489484965,0.8857040783450493
Central,Winter,ONI,Exposure,2,29,-0.1050787621187999,0.6000536559351217,0.8857040783450493
Central,Winter,ONI,Exposure,3,28,-0.12804589766706648,0.5311290741865697,0.8857040783450493
Central,Winter,ONI,Intensity,-3,28,-0.039769069794029874,0.8407587959715292,0.955721496054929
Central,Winter,ONI,Intensity,-2,29,-0.12066683909292278,0.5329478937391081,0.8857040783450493
Central,Winter,ONI,Intensity,-1,30,-0.08830556343116844,0.6426291633113967,0.8996808286359554
Central,Winter,ONI,Intensity,0,31,-0.2575338345984577,0.16190720329892616,0.8245629227577517
Central,Winter,ONI,Intensity,1,30,0.12072475519661398,0.5251215319709426,0.8857040783450493
Central,Winter,ONI,Intensity,2,29,-0.17678888360686862,0.35892528787829225,0.8857040783450493
Central,Winter,ONI,Intensity,3,28,0.28890930530782194,0.13946609711255165,0.8221159408739886
Central,Winter,DMI,Exposure,-3,28,-0.09494065961505295,0.632129090392336,0.8996808286359554
Central,Winter,DMI,Exposure,-2,29,0.024888615451055876,0.8980276605790465,0.967723439403098
Central,Winter,DMI,Exposure,-1,30,-0.07768607423734268,0.6850221820354832,0.9072770694373178
Central,Winter,DMI,Exposure,0,31,-0.1870578087431492,0.31985680341791456,0.8857040783450493
Central,Winter,DMI,Exposure,1,30,0.02830560497647018,0.8850936213617371,0.967723439403098
Central,Winter,DMI,Exposure,2,29,0.35331019244372275,0.06506770065137513,0.6329236289706294
Central,Winter,DMI,Exposure,3,28,0.2371702433744891,0.23823036096721717,0.8796197943404942
Central,Winter,DMI,Intensity,-3,28,-0.21806504233440965,0.26495110087121665,0.8857040783450493
Central,Winter,DMI,Intensity,-2,29,-0.03735317644016452,0.8474955070560393,0.9587827958613778
Central,Winter,DMI,Intensity,-1,30,0.010965745027852027,0.9541378770290858,0.9899341835726284
Central,Winter,DMI,Intensity,0,31,-0.2348500507139983,0.20346881466345934,0.8245629227577517
Central,Winter,DMI,Intensity,1,30,0.5815202084032541,0.0007507085952993542,0.252238088020583
Central,Winter,DMI,Intensity,2,29,0.19635625873219867,0.30731128559503373,0.8857040783450493
Central,Winter,DMI,Intensity,3,28,0.22939584888457007,0.24378241257583033,0.8814846815767067
Central,Pre-monsoon,ONI,Exposure,-3,28,0.11815228877519937,0.5500477701590922,0.8857040783450493
Central,Pre-monsoon,ONI,Exposure,-2,29,-0.14678827414041387,0.44834950114353167,0.8857040783450493
Central,Pre-monsoon,ONI,Exposure,-1,30,-0.2894746706734062,0.12229924303131079,0.7471371937912804
Central,Pre-monsoon,ONI,Exposure,0,31,0.22717247366586682,0.22507864363240215,0.8692692443734151
Central,Pre-monsoon,ONI,Exposure,1,30,0.25028000306330356,0.18759253126189246,0.8245629227577517
Central,Pre-monsoon,ONI,Exposure,2,29,-0.14985345639823305,0.44323523327084047,0.8857040783450493
Central,Pre-monsoon,ONI,Exposure,3,28,-0.02672735086976956,0.894049649872662,0.967723439403098
Central,Pre-monsoon,ONI,Intensity,-3,28,-0.16114650005146733,0.42304191584298745,0.8857040783450493
Central,Pre-monsoon,ONI,Intensity,-2,29,0.11561055363788597,0.5624307339307149,0.8857040783450493
Central,Pre-monsoon,ONI,Intensity,-1,30,-0.04188271064098155,0.8307781789535431,0.9556543884025043
Central,Pre-monsoon,ONI,Intensity,0,31,0.10647237024495722,0.5784500018734624,0.8857040783450493
Central,Pre-monsoon,ONI,Intensity,1,30,0.4857710378231277,0.008100331124588633,0.6095607601183826
Central,Pre-monsoon,ONI,Intensity,2,29,0.08926522111369777,0.6538724118761108,0.9016793472062907
Central,Pre-monsoon,ONI,Intensity,3,28,-0.10463602364069687,0.6072512509717214,0.8871148709847756
Central,Pre-monsoon,DMI,Exposure,-3,28,0.16785199596619993,0.39382058933045405,0.8857040783450493
Central,Pre-monsoon,DMI,Exposure,-2,29,0.010995072823193395,0.9549116147136674,0.9899341835726284
Central,Pre-monsoon,DMI,Exposure,-1,30,0.05123624893560583,0.7881449375521352,0.9457739250625622
Central,Pre-monsoon,DMI,Exposure,0,31,0.26723524097169027,0.14612872461202708,0.8245629227577517
Central,Pre-monsoon,DMI,Exposure,1,30,0.26176628675205577,0.16231292148963172,0.8245629227577517
Central,Pre-monsoon,DMI,Exposure,2,29,-0.0782465589637928,0.686613367293456,0.9072770694373178
Central,Pre-monsoon,DMI,Exposure,3,28,-0.07004018042795346,0.7232220358022272,0.9105821184081367
Central,Pre-monsoon,DMI,Intensity,-3,28,0.3646330599731664,0.06018256137024114,0.6329236289706294
Central,Pre-monsoon,DMI,Intensity,-2,29,0.1433139465836375,0.46568795469025215,0.8857040783450493
Central,Pre-monsoon,DMI,Intensity,-1,30,-0.008898361206002351,0.9629307613812568,0.9908717794447771
Central,Pre-monsoon,DMI,Intensity,0,31,0.05681703787165362,0.7614408352002491,0.9303422568264862
Central,Pre-monsoon,DMI,Intensity,1,30,0.13918040099737047,0.46324633964302,0.8857040783450493
Central,Pre-monsoon,DMI,Intensity,2,29,-0.3732080273117913,0.04614198888098797,0.6329236289706294
Central,Pre-monsoon,DMI,Intensity,3,28,-0.08416134875435496,0.6702588286482327,0.9058295578138869
Central,Monsoon,ONI,Exposure,-3,28,0.08115803142501649,0.6814048294560218,0.9072770694373178
Central,Monsoon,ONI,Exposure,-2,29,-0.056466330689507,0.7710995555115208,0.9347517550367744
Central,Monsoon,ONI,Exposure,-1,30,-0.1777393248925771,0.34739026742077783,0.8857040783450493
Central,Monsoon,ONI,Exposure,0,31,-0.4617199593811173,0.00893049230340881,0.6095607601183826
Central,Monsoon,ONI,Exposure,1,30,0.15898025415402364,0.40139844737403685,0.8857040783450493
Central,Monsoon,ONI,Exposure,2,29,0.358207475164252,0.05638902339131446,0.6329236289706294
Central,Monsoon,ONI,Exposure,3,28,-0.20254725389488798,0.3012866392188531,0.8857040783450493
Central,Monsoon,ONI,Intensity,-3,28,-0.05737328351192833,0.7733957973220931,0.9347517550367744
Central,Monsoon,ONI,Intensity,-2,29,0.07837322891809756,0.699460877767176,0.9072770694373178
Central,Monsoon,ONI,Intensity,-1,30,0.14636302589625594,0.4628027932936667,0.8857040783450493
Central,Monsoon,ONI,Intensity,0,31,-0.31444773752600563,0.10034095781025898,0.7471371937912804
Central,Monsoon,ONI,Intensity,1,30,-0.16686500063442838,0.40193703236405254,0.8857040783450493
Central,Monsoon,ONI,Intensity,2,29,-0.17533135751008702,0.3873479984555799,0.8857040783450493
Central,Monsoon,ONI,Intensity,3,28,0.06889108190693359,0.7328114546545152,0.9173325480338064
Central,Monsoon,DMI,Exposure,-3,28,0.06419110479123646,0.7455473313886303,0.9222424154881346
Central,Monsoon,DMI,Exposure,-2,29,0.2526415371726251,0.18608802719933237,0.8245629227577517
Central,Monsoon,DMI,Exposure,-1,30,0.06302405359151476,0.740751642256325,0.9218242659189821
Central,Monsoon,DMI,Exposure,0,31,-0.3491325024608225,0.05421996912306448,0.6329236289706294
Central,Monsoon,DMI,Exposure,1,30,-0.038710197896344986,0.8390638282598868,0.955721496054929
Central,Monsoon,DMI,Exposure,2,29,0.40394786141232714,0.02976449752062882,0.6329236289706294
Central,Monsoon,DMI,Exposure,3,28,-0.24774818035725205,0.2036866743717065,0.8245629227577517
Central,Monsoon,DMI,Intensity,-3,28,-0.4218262181407044,0.03777268123018129,0.6329236289706294
Central,Monsoon,DMI,Intensity,-2,29,-0.025980952735475883,0.9044463097714517,0.967723439403098
Central,Monsoon,DMI,Intensity,-1,30,0.38930037552177427,0.06411794138871829,0.6329236289706294
Central,Monsoon,DMI,Intensity,0,31,-0.28828784816834124,0.15985945440374238,0.8245629227577517
Central,Monsoon,DMI,Intensity,1,30,0.16667847356810275,0.43806032973549525,0.8857040783450493
Central,Monsoon,DMI,Intensity,2,29,-0.08691574494447178,0.6940824040970357,0.9072770694373178
Central,Monsoon,DMI,Intensity,3,28,0.4434189014924996,0.03336270020705201,0.6329236289706294
Central,Post-monsoon,ONI,Exposure,-3,28,0.14493298305454083,0.46182392472131983,0.8857040783450493
Central,Post-monsoon,ONI,Exposure,-2,29,-0.17153949267865276,0.3859828701005097,0.8857040783450493
Central,Post-monsoon,ONI,Exposure,-1,30,-0.472456361602856,0.010000577435913538,0.6095607601183826
Central,Post-monsoon,ONI,Exposure,0,31,0.07533247636127435,0.6911908220251481,0.9072770694373178
Central,Post-monsoon,ONI,Exposure,1,30,0.12512783843705724,0.51616936673754,0.8857040783450493
Central,Post-monsoon,ONI,Exposure,2,29,0.16472639169218517,0.3994808457406709,0.8857040783450493
Central,Post-monsoon,ONI,Exposure,3,28,-0.2554416461791786,0.19246174807450478,0.8245629227577517
Central,Post-monsoon,ONI,Intensity,-3,28,0.10380530902711893,0.5995234465740624,0.8857040783450493
Central,Post-monsoon,ONI,Intensity,-2,29,-0.3811173793187821,0.04136852480472575,0.6329236289706294
Central,Post-monsoon,ONI,Intensity,-1,30,-0.15861206396452265,0.402503854553673,0.8857040783450493
Central,Post-monsoon,ONI,Intensity,0,31,-0.13810568949711186,0.4587526281197627,0.8857040783450493
Central,Post-monsoon,ONI,Intensity,1,30,0.09590913607487478,0.6141494270436287,0.8894577908907727
Central,Post-monsoon,ONI,Intensity,2,29,0.1655703014185666,0.39069920880786424,0.8857040783450493
Central,Post-monsoon,ONI,Intensity,3,28,0.08640333593349563,0.66198244273816,0.9023013309507406
Central,Post-monsoon,DMI,Exposure,-3,28,0.02779342921636835,0.8895987224757675,0.967723439403098
Central,Post-monsoon,DMI,Exposure,-2,29,-0.09670068114393687,0.6397421498960534,0.8996808286359554
Central,Post-monsoon,DMI,Exposure,-1,30,-0.44769641679171335,0.02193162055132114,0.6329236289706294
Central,Post-monsoon,DMI,Exposure,0,31,-0.04775738002469136,0.806680344655593,0.9477083769380393
Central,Post-monsoon,DMI,Exposure,1,30,0.16243125734878167,0.41812986964848387,0.8857040783450493
Central,Post-monsoon,DMI,Exposure,2,29,0.1130090846366935,0.5798129932618923,0.8857040783450493
Central,Post-monsoon,DMI,Exposure,3,28,-0.4217902152177471,0.03236946508048821,0.6329236289706294
Central,Post-monsoon,DMI,Intensity,-3,28,0.02306903062094763,0.9072407244404044,0.967723439403098
Central,Post-monsoon,DMI,Intensity,-2,29,-0.1674052516148233,0.38539491678923854,0.8857040783450493
Central,Post-monsoon,DMI,Intensity,-1,30,-0.04328729770125568,0.8203257461906714,0.9556543884025043
Central,Post-monsoon,DMI,Intensity,0,31,-0.21938684022064986,0.23569672082248805,0.8796197943404942
Central,Post-monsoon,DMI,Intensity,1,30,0.22513312383641476,0.23164234102637304,0.8777625956226373
Central,Post-monsoon,DMI,Intensity,2,29,-0.14003921240026018,0.4687317758697507,0.8857040783450493
Central,Post-monsoon,DMI,Intensity,3,28,-0.008854835480453054,0.964330571066792,0.9908717794447771
Southern,Winter,ONI,Exposure,-3,28,-0.05407160954056091,0.7846418052108441,0.9449449697162854
Southern,Winter,ONI,Exposure,-2,29,-0.11394394567800897,0.5561711634864008,0.8857040783450493
Southern,Winter,ONI,Exposure,-1,30,-0.15284051193505638,0.42005582052768675,0.8857040783450493
Southern,Winter,ONI,Exposure,0,31,0.33024105318246844,0.06961127606234041,0.6497052432485105
Southern,Winter,ONI,Exposure,1,30,0.15542996530296077,0.4121290139097944,0.8857040783450493
Southern,Winter,ONI,Exposure,2,29,-0.14513436692709075,0.45254185138806746,0.8857040783450493
Southern,Winter,ONI,Exposure,3,28,-0.09169593891783398,0.6425994996926367,0.8996808286359554
Southern,Winter,ONI,Intensity,-3,28,-0.05041353115527714,0.7989062927091619,0.9472848868396735
Southern,Winter,ONI,Intensity,-2,29,-0.10881649165770997,0.5741900445322652,0.8857040783450493
Southern,Winter,ONI,Intensity,-1,30,0.11230069161770591,0.554631784562936,0.8857040783450493
Southern,Winter,ONI,Intensity,0,31,-0.13528433107886983,0.46806934355255914,0.8857040783450493
Southern,Winter,ONI,Intensity,1,30,0.10884565401245064,0.5669525387243772,0.8857040783450493
Southern,Winter,ONI,Intensity,2,29,-0.21811001159017013,0.25568737717853707,0.8857040783450493
Southern,Winter,ONI,Intensity,3,28,-0.010668207521906179,0.9575256239913816,0.9899341835726284
Southern,Winter,DMI,Exposure,-3,28,0.005159920246767882,0.9792102822379831,0.9933712482297942
Southern,Winter,DMI,Exposure,-2,29,0.003107076912791454,0.9872441379164054,0.9938193985200513
Southern,Winter,DMI,Exposure,-1,30,-0.1533460503197083,0.41850165735416534,0.8857040783450493
Southern,Winter,DMI,Exposure,0,31,-0.13378798310017415,0.4730505670530667,0.8857040783450493
Southern,Winter,DMI,Exposure,1,30,0.14408351866668692,0.44748096626524636,0.8857040783450493
Southern,Winter,DMI,Exposure,2,29,0.14865433840588538,0.4415336636608771,0.8857040783450493
Southern,Winter,DMI,Exposure,3,28,0.0582955707275624,0.7682552442672397,0.9347517550367744
Southern,Winter,DMI,Intensity,-3,28,-0.1344764540245534,0.49508151875500617,0.8857040783450493
Southern,Winter,DMI,Intensity,-2,29,-0.14171373890348887,0.4633973604833552,0.8857040783450493
Southern,Winter,DMI,Intensity,-1,30,-0.11431572672559984,0.5475037656127033,0.8857040783450493
Southern,Winter,DMI,Intensity,0,31,-0.23531944966833093,0.20254065195009474,0.8245629227577517
Southern,Winter,DMI,Intensity,1,30,0.42379339298913815,0.019607037562444418,0.6329236289706294
Southern,Winter,DMI,Intensity,2,29,0.3043766457979564,0.10841151770276802,0.7471371937912804
Southern,Winter,DMI,Intensity,3,28,0.12337518125748974,0.5355746106804331,0.8857040783450493
Southern,Pre-monsoon,ONI,Exposure,-3,28,-0.049318668571963944,0.8031881845319213,0.9472848868396735
Southern,Pre-monsoon,ONI,Exposure,-2,29,-0.12716242315328374,0.5109589536754318,0.8857040783450493
Southern,Pre-monsoon,ONI,Exposure,-1,30,-0.14698820455291883,0.43827917487564605,0.8857040783450493
Southern,Pre-monsoon,ONI,Exposure,0,31,0.31375866970343785,0.08564085015890344,0.7193831413347889
Southern,Pre-monsoon,ONI,Exposure,1,30,0.11389353728115388,0.5489936718011548,0.8857040783450493
Southern,Pre-monsoon,ONI,Exposure,2,29,-0.24537351638985389,0.19950143198964376,0.8245629227577517
Southern,Pre-monsoon,ONI,Exposure,3,28,-0.03432170965639595,0.8623495799044103,0.9651172806860654
Southern,Pre-monsoon,ONI,Intensity,-3,28,-0.040340314516847754,0.8419451274769612,0.955721496054929
