year,event_count,mhw_days,median_gap_days
2010,2,34,1.0
2011,5,31,42.0
2012,3,30,27.0
2013,4,29,46.5
2014,3,36,145.0
2015,3,35,36.0
2016,2,37,54.0
2017,4,28,42.0
2018,3,36,79.0
2019,2,26,176.5
2020,3,37,70.0
2021,2,31,120.0
2022,3,30,115.0
2023,2,27,206.0
2024,1,27,154.0
2025,3,23,165.0
